,date,un_rate,12_mo_unemp_change,median_household_price,pct_house_change_year,housing_climb_change,cpi_change_all,cpi_change_less_food_and_energy,36_mo_cpi_change_all,average_sp_price,pct_monthly_sp_change,pct_bimonthly_sp_change,ten_yr_yield,one_yr_yield,yield_diff,yield_below_zero,years_since_recession,years_until_recession,recession_in_next_year,in_recession
477,2007-10-01,4.7,0.2999999999999998,238400.0,-2.852485737571312,-3.5914019937289474,3.6107,2.15655,0.4197899999999999,1539.66,2.8414555947419173,5.846200382230425,4.56,4.11,0.4499999999999993,0,5.917808219178082,0.16712328767123288,1.0,0
478,2007-11-01,4.7,0.20000000000000018,238400.0,-2.852485737571312,-3.5914019937289474,4.37327,2.33879,0.7516499999999997,1463.39,-4.953691074652844,-2.2529924120978806,4.36,3.89,0.4700000000000002,0,6.002739726027397,0.0821917808219178,1.0,0
479,2007-12-01,5.0,0.5999999999999996,238400.0,-2.852485737571312,-3.5914019937289474,4.10881,2.43537,0.7664900000000001,1479.22,1.0817348758704053,-3.9255420027798382,3.89,3.15,0.7400000000000002,0,0.0,0.0,1.0,1
480,2008-01-01,5.0,0.40000000000000036,233900.0,-9.12975912975913,-13.045786582322714,4.2947,2.47891,1.44983,1378.76,-6.791417098200406,-5.783147349647059,3.91,3.17,0.7400000000000002,0,0.0,0.0,1.0,1
481,2008-02-01,4.9,0.40000000000000036,233900.0,-9.12975912975913,-13.045786582322714,4.14296,2.29708,1.0899300000000003,1354.87,-1.7327163538251835,-8.40645745730859,3.62,2.13,1.4900000000000002,0,0.0,0.0,1.0,1
482,2008-03-01,5.1,0.6999999999999993,233900.0,-9.12975912975913,-13.045786582322714,3.9749,2.38852,0.7680599999999997,1316.94,-2.7995305822698735,-4.48373901186573,3.54,1.74,1.8,0,0.0,0.0,1.0,1
483,2008-04-01,5.0,0.5,235300.0,-2.8488852188274154,-1.1842485968217313,3.90376,2.29467,0.5419700000000001,1370.47,4.0647258037571925,1.151401979525721,3.57,1.62,1.9499999999999997,0,0.0,0.0,1.0,1
484,2008-05-01,5.4,1.0,235300.0,-2.8488852188274154,-1.1842485968217313,4.08841,2.32222,1.2191199999999998,1403.22,2.3896911278612447,6.55155132352271,3.78,1.94,1.8399999999999999,0,0.0,0.0,1.0,1
485,2008-06-01,5.6,1.0,235300.0,-2.8488852188274154,-1.1842485968217313,4.93597,2.39173,2.39494,1341.25,-4.41627114778866,-2.1321152597284163,3.98,2.17,1.81,0,0.0,0.0,1.0,1
486,2008-07-01,5.8,1.0999999999999996,226500.0,-6.327543424317618,-8.959122371686039,5.49751,2.46331,2.4303500000000002,1257.33,-6.256849953401683,-10.396801641937836,4.01,2.38,1.63,0,0.0,0.0,1.0,1
